domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
SETD1A__Histone-lysine N-methyltransferase Set1-like	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	18	30958735,30959091,30961267,30963433,30964094,30964612,30965601,30966884,30967501,30969305,30969602,30971378,30979145,30980485,30980739,30981061,30983635,30983850	30958881,30959186,30961537,30963554,30964323,30965461,30966386,30967060,30967588,30969462,30969689,30971719,30980194,30980657,30980849,30981180,30983772,30984020	family	panther
SETD1A__RNA-binding domain superfamily	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	2	30959142,30961267	30959186,30961524	homologous_superfamily	ssf
SETD1A__RNA recognition motif domain	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	1	30961270	30961536	domain	pfam,profile,smart
SETD1A__Nucleotide-binding alpha-beta plait domain superfamily	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	2	30961282,30963433	30961537,30963506	homologous_superfamily	cathgene3d
SETD1A__Set1A, RNA recognition motif	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	2	30961294,30963433	30961537,30963473	domain	cdd
SETD1A__COMPASS complex Set1 subunit, N-SET domain	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	3	30980041,30980485,30980739	30980194,30980657,30980843	domain	smart,pfam
SETD1A__SET domain superfamily	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	5	30980544,30980739,30981061,30983635,30983850	30980657,30980849,30981180,30983772,30984020	homologous_superfamily	cathgene3d,ssf
SETD1A__SET domain	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	3	30981070,30983635,30983850	30981180,30983772,30983972	domain	profile,pfam,smart
SETD1A__Post-SET domain	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	1	30983970	30984020	domain	profile,smart
NOD2__CARD domain	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	4	50699571,50699895,50707855,50710558	50699855,50699954,50707960,50710646	domain	profile,pfam,smart
NOD2__Death-like domain superfamily	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	4	50699580,50699880,50707855,50710558	50699873,50699954,50707960,50710634	homologous_superfamily	ssf,cathgene3d
NOD2__P-loop containing nucleoside triphosphate hydrolase	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	1	50710635	50711417	homologous_superfamily	cathgene3d,ssf
NOD2__NACHT nucleoside triphosphatase	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	1	50710869	50711378	domain	profile,pfam
NOD2__NOD2, winged helix domain	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	1	50711628	50711753	domain	pfam
NOD2__NACHT, LRR and PYD domains-containing protein, helical domain HD2	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	1	50711799	50712263	domain	pfam
NOD2__Leucine-rich repeat domain superfamily	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	9	50712234,50716587,50716891,50719925,50722622,50723301,50725489,50729818,50731747	50712373,50716670,50716974,50720008,50722705,50723384,50725572,50729901,50731882	homologous_superfamily	cathgene3d
NOD2__Leucine-rich repeat	ENST00000647318	chr16	+	50693588	50734041	50699496	50731819	6	50722680,50723301,50723362,50725489,50729873,50731747	50722705,50723343,50723384,50725531,50729901,50731792	repeat	pfam,profile
NFATC2IP__Ubiquitin-like domain superfamily	ENST00000320805	chr16	+	28950807	28967092	28951012	28963863	5	28956257,28958717,28958991,28959011,28963705	28956337,28958861,28959001,28959100,28963857	homologous_superfamily	ssf
NFATC2IP__Ubiquitin-like domain	ENST00000320805	chr16	+	28950807	28967092	28951012	28963863	5	28956284,28958717,28958991,28959035,28963705	28956337,28958861,28959004,28959100,28963854	domain	profile,pfam,smart
NFATC2IP__Rad60/SUMO-like domain	ENST00000320805	chr16	+	28950807	28967092	28951012	28963863	2	28959044,28963705	28959100,28963854	domain	pfam
CHRNB1__Neurotransmitter-gated ion-channel	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	11	7445170,7445270,7446069,7446833,7447043,7447503,7448579,7454297,7455284,7455794,7456583	7445185,7445409,7446113,7446942,7447151,7447650,7448788,7454520,7455456,7455941,7456681	family	prints,tigrfams,panther
CHRNB1__Neurotransmitter-gated ion-channel ligand-binding domain superfamily	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	6	7445272,7446069,7446833,7447043,7447503,7448579	7445409,7446113,7446942,7447151,7447650,7448715	homologous_superfamily	cathgene3d,ssf
CHRNB1__Neurotransmitter-gated ion-channel ligand-binding domain	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	6	7445293,7446069,7446833,7447043,7447503,7448579	7445409,7446113,7446942,7447151,7447650,7448703	domain	pfam
CHRNB1__Nicotinic acetylcholine receptor	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	6	7445392,7446069,7446872,7446926,7447043,7447080	7445409,7446101,7446916,7446942,7447064,7447136	family	prints
CHRNB1__Neurotransmitter-gated ion-channel, conserved site	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	2	7447140,7447503	7447151,7447535	conserved_site	prosite
CHRNB1__Neurotransmitter-gated ion-channel transmembrane domain superfamily	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	5	7448701,7454297,7455284,7455794,7456583	7448788,7454520,7455456,7455941,7456696	homologous_superfamily	ssf
CHRNB1__Neuronal acetylcholine receptor	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	5	7448716,7454297,7455284,7455855,7456583	7448788,7454520,7455304,7455941,7456720	homologous_superfamily	cathgene3d
CHRNB1__Neurotransmitter-gated ion-channel transmembrane domain	ENST00000306071	chr17	+	7445061	7457710	7445128	7456723	5	7448722,7454297,7455284,7455794,7456583	7448788,7454520,7455456,7455941,7456678	domain	pfam
WNT3__Wnt	ENST00000225512	chr17	-	46762506	46833154	46818597	46768320	4	46818518,46773668,46769783,46768323	46818597,46773909,46770048,46768799	family	pfam,panther,prints,smart
WNT3__Wnt-3 protein	ENST00000225512	chr17	-	46762506	46833154	46818597	46768320	3	46769915,46769816,46768401	46769944,46769854,46768436	family	prints
WNT3__Wnt protein, conserved site	ENST00000225512	chr17	-	46762506	46833154	46818597	46768320	1	46768743	46768772	conserved_site	prosite
WNT3__Wnt, C-terminal domain	ENST00000225512	chr17	-	46762506	46833154	46818597	46768320	1	46768323	46768505	homologous_superfamily	cathgene3d
KANSL1__KAT8 regulatory NSL complex subunit 1	ENST00000432791	chr17	-	46029916	46225389	46172143	46031476	14	46170855,46094560,46082441,46067549,46066537,46050533,46039702,46039027,46038538,46034161,46033403,46033080,46032047,46031542	46172140,46094701,46082542,46067667,46066732,46050704,46039884,46039215,46038686,46034285,46033460,46033192,46032299,46031703	family	panther
KANSL1__PEHE domain	ENST00000432791	chr17	-	46029916	46225389	46172143	46031476	5	46034161,46033403,46033080,46032047,46031689	46034174,46033460,46033192,46032299,46031703	domain	smart,pfam
UBTF__High mobility group box domain superfamily	ENST00000436088	chr17	-	44205033	44221626	44218229	44207242	21	44215906,44215654,44213218,44212897,44212819,44212344,44211959,44211873,44211606,44211290,44211078,44211039,44210792,44210396,44210318,44210124,44209683,44209645,44209352,44207864,44207747	44215920,44215809,44213282,44212939,44212899,44212454,44212006,44211937,44211747,44211331,44211152,44211068,44210947,44210473,44210395,44210234,44209733,44209697,44209541,44207911,44207770	homologous_superfamily	ssf,cathgene3d
UBTF__High mobility group box domain	ENST00000436088	chr17	-	44205033	44221626	44218229	44207242	16	44215654,44213218,44212936,44212819,44212344,44211983,44211873,44211606,44211290,44210792,44210405,44210318,44210124,44209710,44209645,44209352	44215797,44213282,44212939,44212896,44212454,44212006,44211889,44211747,44211331,44210935,44210473,44210392,44210234,44209733,44209661,44209541	domain	profile,pfam,smart
UBTF__High mobility group box domain 5	ENST00000436088	chr17	-	44205033	44221626	44218229	44207242	3	44210318,44210124,44209671	44210398,44210234,44209733	domain	pfam
DNAH17__Dynein heavy chain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	80	78574713,78572701,78571590,78571279,78570948,78570247,78569375,78569166,78566999,78566614,78561715,78560740,78558108,78552697,78551535,78543857,78539737,78537299,78532482,78530343,78529472,78526880,78526651,78525009,78514774,78510384,78507458,78507278,78506720,78505293,78502886,78502591,78501742,78501184,78500305,78499008,78495875,78494959,78494593,78494036,78492633,78491443,78490699,78486224,78485960,78485550,78484868,78480684,78479485,78479025,78476572,78475669,78475278,78468617,78466655,78462844,78461544,78460162,78459784,78459001,78458565,78455644,78454470,78453343,78451469,78450682,78450254,78449414,78445558,78444604,78441051,78439090,78437641,78434029,78429121,78428525,78426926,78426457,78425346,78423909	78574919,78572894,78571782,78571378,78571033,78570372,78569527,78569252,78567166,78566730,78561980,78560935,78558254,78552805,78551638,78543997,78539880,78537481,78532736,78530512,78529694,78526996,78526737,78525161,78515022,78510506,78507805,78507369,78506846,78505445,78503011,78502698,78501873,78501344,78500461,78499112,78496032,78495097,78494820,78494173,78492765,78491570,78490847,78486506,78486133,78485757,78485033,78480786,78479632,78479116,78476733,78475833,78475469,78468883,78466816,78463077,78461708,78460257,78460001,78459208,78458680,78455836,78454705,78453465,78451673,78450846,78450394,78449584,78445680,78444797,78441199,78439217,78437868,78434220,78429300,78428707,78427108,78426600,78425571,78424153	family	panther
DNAH17__Dynein heavy chain, tail	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	13	78571590,78571279,78570948,78570247,78569375,78569166,78566999,78566614,78561715,78560740,78558108,78552697,78551625	78571754,78571378,78571033,78570372,78569527,78569252,78567166,78566730,78561980,78560935,78558254,78552805,78551638	domain	pfam
DNAH17__Dynein heavy chain, linker	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	8	78525009,78514774,78510384,78507458,78507278,78506720,78505293,78502946	78525068,78515022,78510506,78507805,78507369,78506846,78505445,78503011	domain	pfam
DNAH17__Dynein heavy chain, domain 2, N-terminal	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	3	78507458,78507278,78506798	78507772,78507369,78506846	homologous_superfamily	cathgene3d
DNAH17__Dynein heavy chain, linker, subdomain 3	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	3	78506720,78505293,78502937	78506794,78505445,78503011	homologous_superfamily	cathgene3d
DNAH17__Dynein heavy chain, hydrolytic ATP-binding dynein motor region	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	7	78501184,78500305,78499008,78495875,78494959,78494593,78494039	78501242,78500461,78499112,78496032,78495097,78494820,78494173	domain	pfam
DNAH17__P-loop containing nucleoside triphosphate hydrolase	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	29	78501184,78500305,78499008,78495875,78494959,78494758,78494593,78494036,78492633,78491443,78490713,78485960,78485550,78484868,78480684,78479485,78479025,78476572,78475669,78475278,78468617,78466655,78462889,78454470,78453343,78451490,78441051,78439090,78437695	78501197,78500461,78499112,78496032,78495097,78494820,78494700,78494173,78492765,78491570,78490847,78486019,78485757,78485033,78480786,78479632,78479116,78476733,78475833,78475469,78468883,78466816,78463077,78454672,78453465,78451673,78441141,78439217,78437868	homologous_superfamily	cathgene3d,ssf
DNAH17__Dynein heavy chain, AAA1 domain, small subdomain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	2	78494959,78494617	78495081,78494820	homologous_superfamily	cathgene3d
DNAH17__Dynein heavy chain, AAA 5 extension domain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	2	78486224,78486002	78486448,78486133	domain	pfam
DNAH17__Dynein heavy chain 3, AAA+ lid domain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	4	78479485,78479025,78476572,78475810	78479503,78479116,78476733,78475833	domain	pfam
DNAH17__Dynein heavy chain, AAA module D4	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	5	78475669,78475278,78468617,78466655,78462928	78475677,78475469,78468883,78466816,78463077	domain	pfam
DNAH17__Dynein heavy chain, coiled coil stalk	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	7	78462844,78461544,78460162,78459784,78459001,78458565,78455656	78462891,78461708,78460257,78460001,78459208,78458680,78455836	domain	pfam
DNAH17__Dynein heavy chain, ATP-binding dynein motor region	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	4	78454470,78453343,78451469,78450691	78454639,78453465,78451673,78450846	domain	pfam
DNAH17__Dynein heavy chain region D6 P-loop domain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	3	78441051,78439090,78437701	78441117,78439217,78437868	domain	pfam
DNAH17__Dynein heavy chain AAA lid domain superfamily	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	4	78437641,78434029,78429121,78428645	78437694,78434220,78429300,78428707	homologous_superfamily	cathgene3d
DNAH17__Dynein heavy chain AAA lid domain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	3	78434029,78429121,78428636	78434187,78429300,78428707	domain	pfam
DNAH17__Dynein heavy chain, C-terminal domain	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	5	78428525,78426926,78426457,78425346,78423915	78428614,78427108,78426600,78425571,78424153	domain	pfam
DNAH17__Dynein heavy chain, C-terminal domain, barrel region	ENST00000389840	chr17	-	78423697	78577396	78423906	78575057	2	78425346,78423909	78425505,78424153	homologous_superfamily	cathgene3d
CRHR1__GPCR family 2, extracellular hormone receptor domain superfamily	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	4	45830426,45830880,45833138,45833452	45830570,45830940,45833210,45833514	homologous_superfamily	cathgene3d,ssf
CRHR1__GPCR, family 2, corticotropin releasing factor receptor, type 1	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	5	45830432,45830474,45833199,45833452,45834639	45830470,45830518,45833210,45833475,45834683	family	prints
CRHR1__GPCR, family 2, extracellular hormone receptor domain	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	4	45830471,45830880,45833138,45833452	45830570,45830940,45833210,45833466	domain	profile,pfam,smart
CRHR1__GPCR, family 2, secretin-like, conserved site	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	3	45830516,45830880,45835191	45830570,45830902,45835238	conserved_site	prosite
CRHR1__GPCR, family 2, corticotropin releasing factor receptor	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	13	45830552,45830880,45830900,45833138,45833160,45833461,45833512,45833714,45834771,45834903,45835023,45835116,45835305	45830570,45830896,45830940,45833150,45833210,45833508,45833537,45833744,45834809,45834950,45835052,45835181,45835361	family	prints
CRHR1__GPCR, family 2-like	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	4	45833488,45833714,45834007,45834624	45833537,45833849,45834048,45835229	domain	profile
CRHR1__GPCR, family 2, secretin-like	ENST00000634540	chr17	+	45620344	45835826	45830185	45834764	5	45833494,45833714,45833823,45834007,45834624	45833537,45833744,45833849,45834048,45835226	family	pfam,prints
GRN__Granulin family	ENST00000053867	chr17	+	44345246	44353106	44349165	44352798	12	44349165,44349426,44349667,44350228,44350442,44350691,44351037,44351363,44351550,44352015,44352341,44352661	44349302,44349551,44349751,44350340,44350577,44350800,44351163,44351460,44351795,44352248,44352571,44352762	family	panther
GRN__Granulin superfamily	ENST00000053867	chr17	+	44345246	44353106	44349165	44352798	16	44349465,44349667,44350228,44350242,44350442,44350702,44351037,44351163,44351363,44351550,44351703,44352015,44352153,44352341,44352473,44352661	44349551,44349751,44350238,44350340,44350519,44350800,44351144,44351163,44351460,44351630,44351795,44352119,44352248,44352424,44352571,44352741	homologous_superfamily	cathgene3d
GRN__Granulin	ENST00000053867	chr17	+	44345246	44353106	44349165	44352798	14	44349468,44349667,44350254,44350442,44350714,44351037,44351377,44351550,44351712,44352015,44352165,44352341,44352488,44352661	44349551,44349738,44350340,44350516,44350800,44351111,44351460,44351621,44351795,44352083,44352248,44352412,44352571,44352735	domain	prosite,smart,pfam
LINC02210-CRHR1__GPCR family 2, extracellular hormone receptor domain superfamily	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	4	45807016,45816463,45821355,45829215	45807097,45816582,45821440,45829268	homologous_superfamily	cathgene3d,ssf
LINC02210-CRHR1__GPCR, family 2, corticotropin releasing factor receptor, type 1	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	6	45807022,45807064,45816463,45821420,45829215,45830459	45807060,45807097,45816473,45821440,45829229,45830503	family	prints
LINC02210-CRHR1__GPCR, family 2, extracellular hormone receptor domain	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	4	45807061,45816463,45821355,45829215	45807097,45816582,45821440,45829220	domain	profile,pfam,smart
LINC02210-CRHR1__GPCR, family 2, secretin-like, conserved site	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	1	45816471	45816548	conserved_site	prosite
LINC02210-CRHR1__GPCR, family 2, corticotropin releasing factor receptor	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	12	45816507,45816546,45821355,45821381,45829215,45829266,45830094,45830900,45833470,45833766,45834016,45834624	45816542,45816582,45821371,45821431,45829262,45829321,45830094,45830938,45833517,45833795,45834048,45834656	family	prints
LINC02210-CRHR1__GPCR, family 2-like	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	9	45829242,45830094,45830417,45830880,45833138,45833452,45833714,45834007,45834624	45829321,45830214,45830570,45830940,45833210,45833537,45833849,45834048,45834668	domain	profile
LINC02210-CRHR1__GPCR, family 2, secretin-like	ENST00000314537	chr17	+	45784280	45835828	45784545	45834764	10	45829248,45830094,45830173,45830417,45830880,45833138,45833452,45833714,45834007,45834624	45829321,45830094,45830214,45830570,45830940,45833210,45833537,45833849,45834048,45834668	family	pfam,prints
BRIP1__P-loop containing nucleoside triphosphate hydrolase	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	18	61861447,61859796,61857058,61849129,61847101,61808467,61801253,61799100,61793597,61784270,61780840,61780261,61776401,61744432,61743013,61715951,61693430,61686101	61861527,61859907,61857231,61849256,61847220,61808757,61801474,61799299,61793729,61784424,61781005,61780401,61776562,61744591,61743134,61716063,61693512,61686165	homologous_superfamily	cathgene3d,ssf
BRIP1__Helicase superfamily 1/2, DinG/Rad3-like	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	19	61861447,61859796,61857058,61849129,61847101,61808467,61801253,61799100,61793597,61784270,61780840,61780261,61776401,61744432,61743013,61715951,61693430,61685836,61683626	61861521,61859907,61857231,61849256,61847220,61808757,61801474,61799299,61793729,61784424,61781005,61780401,61776562,61744591,61743134,61716063,61693512,61686165,61684140	family	panther
BRIP1__Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	8	61861447,61859796,61857058,61849129,61847101,61808467,61801253,61799114	61861509,61859907,61857231,61849256,61847220,61808757,61801474,61799299	domain	profile
BRIP1__Helicase-like, DEXD box c2 type	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	8	61861447,61859796,61857058,61849129,61847101,61808467,61801253,61799129	61861503,61859907,61857231,61849256,61847220,61808757,61801474,61799299	domain	smart
BRIP1__Helicase superfamily 1/2, ATP-binding domain	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	8	61861447,61859796,61857058,61849129,61847101,61808467,61801253,61799117	61861491,61859907,61857231,61849256,61847220,61808757,61801474,61799299	domain	profile,smart
BRIP1__ATP-dependent helicase Rad3/Chl1-like	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	13	61808467,61801253,61799100,61793597,61784270,61780840,61780261,61776401,61744432,61743013,61715951,61693430,61686107	61808691,61801474,61799299,61793729,61784424,61781005,61780401,61776562,61744591,61743134,61716063,61693512,61686165	family	tigrfams
BRIP1__DEAD2	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	3	61808467,61801253,61799195	61808643,61801474,61799299	domain	pfam
BRIP1__ATP-dependent helicase, C-terminal	ENST00000259008	chr17	-	61679139	61863559	61861539	61683296	6	61776401,61744432,61743013,61715951,61693430,61686143	61776460,61744591,61743134,61716063,61693512,61686165	domain	pfam,smart
MAP3K14__Mitogen-activated protein (MAP) kinase kinase kinase 14	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	15	45290490,45289236,45287154,45286431,45284812,45274464,45274123,45273503,45271058,45270413,45267406,45267092,45266537,45265163,45264639	45290745,45289305,45287364,45287045,45284949,45274593,45274254,45273607,45271221,45270563,45267759,45267198,45266681,45265263,45264800	family	panther,pirsf
MAP3K14__M3K14, catalytic domain	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	7	45284812,45274464,45274123,45273503,45271058,45270413,45267752	45284925,45274593,45274254,45273607,45271221,45270563,45267759	domain	cdd
MAP3K14__Protein kinase domain	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	6	45284812,45274464,45274123,45273503,45271058,45270420	45284904,45274593,45274254,45273607,45271221,45270563	domain	profile,pfam,smart
MAP3K14__Protein kinase-like domain superfamily	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	6	45284812,45274464,45274123,45273503,45271058,45270423	45284889,45274593,45274254,45273607,45271221,45270563	homologous_superfamily	ssf
MAP3K14__Protein kinase, ATP binding site	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	1	45284812	45284886	binding_site	prosite
MAP3K14__Serine/threonine-protein kinase, active site	ENST00000344686	chr17	-	45263119	45317029	45290745	45264636	2	45274123,45273591	45274144,45273607	active_site	prosite
RETREG3__Reticulophagy regulator 3	ENST00000309428	chr17	-	42579513	42610623	42581813	42609324	9	42609086,42592056,42587834,42586765,42586053,42585125,42583498,42582674,42581816	42609324,42592162,42587864,42586891,42586137,42585262,42583580,42582806,42582270	family	panther
RETREG3__Reticulophagy receptor 1/3	ENST00000309428	chr17	-	42579513	42610623	42581813	42609324	9	42609086,42592056,42587834,42586765,42586053,42585125,42583498,42582674,42581816	42609324,42592162,42587864,42586891,42586137,42585262,42583580,42582806,42582270	family	panther
DLG2__L27 domain	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	4	43904430,43898262,43883203,43882921	43904430,43898380,43883355,43883052	domain	profile,smart
DLG2__L27 domain, C-terminal	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	4	43898262,43883353,43883203,43882924	43898378,43883355,43883229,43883052	domain	pfam
DLG2__L27 domain superfamily	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	2	43883203,43882930	43883241,43883052	homologous_superfamily	ssf
DLG2__PDZ superfamily	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	3	43882903,43882284,43881539	43882935,43882511,43881589	homologous_superfamily	ssf,cathgene3d
DLG2__PDZ domain	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	2	43882284,43881542	43882475,43881589	domain	profile,pfam,smart
DLG2__SH3-like domain superfamily	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	5	43882284,43881458,43881244,43881090,43880764	43882286,43881589,43881349,43881158,43880852	homologous_superfamily	ssf
DLG2__SH3 domain	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	3	43881458,43881244,43881127	43881526,43881349,43881158	domain	profile,pfam,smart,prints
DLG2__MPP2, SH3 domain	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	3	43881458,43881244,43881145	43881514,43881349,43881158	domain	cdd
DLG2__P-loop containing nucleoside triphosphate hydrolase	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	4	43880691,43879782,43879275,43877738	43880745,43879984,43879403,43877983	homologous_superfamily	cathgene3d,ssf
DLG2__Guanylate kinase/L-type calcium channel beta subunit	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	4	43880691,43879782,43879275,43877774	43880724,43879984,43879403,43877983	domain	smart,pfam
DLG2__Guanylate kinase-like domain	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	4	43880691,43879782,43879275,43877783	43880721,43879984,43879403,43877983	domain	profile
DLG2__Guanylate kinase, conserved site	ENST00000269095	chr17	-	43875357	43909711	43904460	43877807	1	43879857	43879910	conserved_site	prosite
NSF__Aspartate decarboxylase-like domain superfamily	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	5	46590776,46624244,46626613,46630411,46637376	46590787,46624329,46626712,46630450,46637392	homologous_superfamily	ssf
NSF__CDC48, N-terminal subdomain	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	4	46624244,46626613,46630411,46637376	46624329,46626712,46630450,46637395	domain	smart,pfam
NSF__Vesicle-fusing ATPase	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	19	46624247,46626613,46630411,46637376,46640054,46640643,46643104,46674414,46692903,46693847,46694475,46704759,46710963,46713853,46726549,46728855,46749773,46751503,46755314	46624329,46626712,46630450,46637542,46640161,46640718,46643259,46674613,46693068,46693921,46694662,46704854,46711119,46713986,46726615,46728934,46749907,46751616,46755367	family	panther
NSF__CDC48 domain 2-like superfamily	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	4	46637396,46640054,46640643,46643104	46637542,46640161,46640718,46643114	homologous_superfamily	ssf
NSF__CDC48, domain 2	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	3	46637468,46640054,46640643	46637542,46640161,46640678	domain	smart,pfam
NSF__P-loop containing nucleoside triphosphate hydrolase	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	13	46643130,46674414,46692903,46693847,46694475,46704759,46710981,46713853,46726549,46728855,46749773,46751503,46755314	46643259,46674613,46693068,46693921,46694662,46704842,46711119,46713986,46726615,46728934,46749907,46751616,46755355	homologous_superfamily	cathgene3d,ssf
NSF__AAA+ ATPase domain	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	9	46674422,46692903,46693847,46694475,46711095,46713853,46726549,46728855,46749773	46674613,46693068,46693921,46694485,46711119,46713986,46726615,46728934,46749877	domain	pfam,smart
NSF__ATPase, AAA-type, core	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	9	46674434,46692903,46693847,46694475,46711107,46713853,46726549,46728855,46749773	46674613,46693068,46693921,46694476,46711119,46713986,46726615,46728934,46749868	domain	pfam
NSF__ATPase, AAA-type, conserved site	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	2	46693056,46693847	46693068,46693890	conserved_site	prosite
NSF__AAA ATPase, AAA+ lid domain	ENST00000398238	chr17	+	46590669	46757464	46590776	46755823	2	46694555,46704759	46694662,46704767	domain	pfam
MED13__MID domain of medPIWI	ENST00000397786	chr17	-	61942605	62065278	62065205	61946468	5	61968035,61966462,61965006,61962752,61961672	61968127,61966651,61965468,61962971,61961779	domain	pfam
MED13__Mediator complex subunit Med13, C-terminal	ENST00000397786	chr17	-	61942605	62065278	62065205	61946468	8	61960867,61956339,61955680,61955382,61952965,61950825,61946917,61946504	61961069,61956481,61955838,61955567,61953113,61950998,61947017,61946600	domain	pfam
FAM171A2__FAM171	ENST00000293443	chr17	-	44353215	44363853	44363714	44353733	8	44363597,44359905,44359579,44356430,44356173,44355958,44355715,44353736	44363711,44360132,44359671,44356588,44356352,44356074,44355841,44355191	family	panther,pfam
RIT2__Small GTPase, Ras-type	ENST00000326695	chr18	-	42743227	43115691	43115519	42743493	5	43115417,43033811,42974074,42923572,42743499	43115489,43033867,42974147,42923763,42743720	family	panther
RIT2__Small GTPase	ENST00000326695	chr18	-	42743227	43115691	43115519	42743493	5	43115417,43033811,42974074,42923572,42743496	43115474,43033867,42974147,42923763,42743720	family	profile,pfam,smart
RIT2__P-loop containing nucleoside triphosphate hydrolase	ENST00000326695	chr18	-	42743227	43115691	43115519	42743493	5	43115417,43033811,42974074,42923572,42743505	43115474,43033867,42974147,42923763,42743720	homologous_superfamily	cathgene3d,ssf
RIT2__Small GTP-binding protein domain	ENST00000326695	chr18	-	42743227	43115691	43115519	42743493	5	43115417,43033811,42974074,42923572,42743625	43115465,43033867,42974147,42923763,42743720	domain	tigrfams
